"code","type","group","value","status","sentiment","rating","price","source_screenshot","crop_file","crop_x","crop_y","crop_w","crop_h","notes","analysis_use"
"GF-REV-NEG-001","ulasan_negatif_netral","ulasan-negatif-netral","albert p.: Jangek siram tidak dikasih; restoran meminta maaf dan berjanji memperhatikan kelengkapan","terlihat","negatif","1","","O-GF-20260613-crop-001-ulasan-pelanggan.jpeg","coded-data/ulasan-negatif-netral/gf-rev-neg-001-albert-p-jangek-siram-tidak-dikasih-restoran-meminta-maaf-dan-berjanji-memp.jpeg","0","225","739","1120","Keluhan kelengkapan pesanan dan respons restoran.","Kelemahan operasional: kelengkapan item pesanan."
"GF-REV-NEG-002","ulasan_negatif_netral","ulasan-negatif-netral","Talia: pesan ayam rendang, dikirim ayam goreng","terlihat","negatif","1","","O-GF-20260613-crop-002-ulasan-pelanggan.jpeg","coded-data/ulasan-negatif-netral/gf-rev-neg-002-talia-pesan-ayam-rendang-dikirim-ayam-goreng.jpeg","0","780","739","335","Keluhan salah item pesanan.","Kelemahan operasional: akurasi pesanan."
"GF-REV-NEG-003","ulasan_negatif_netral","ulasan-negatif-netral","irawaty: udang goreng hanya 3 biji, terlalu mahal, tidak worth it","terlihat","negatif_netral","3","","O-GF-20260613-crop-002-ulasan-pelanggan.jpeg","coded-data/ulasan-negatif-netral/gf-rev-neg-003-irawaty-udang-goreng-hanya-3-biji-terlalu-mahal-tidak-worth-it.jpeg","0","1135","739","385","Keluhan value for money.","Kelemahan persepsi harga/porsi."
"GF-REV-NEG-004","ulasan_negatif_netral","ulasan-negatif-netral","Hendra: pesan ikan kakap tetapi diberikan ikan nila; restoran meminta maaf","terlihat","negatif_netral","3","","O-GF-20260613-crop-003-ulasan-pelanggan.jpeg","coded-data/ulasan-negatif-netral/gf-rev-neg-004-hendra-pesan-ikan-kakap-tetapi-diberikan-ikan-nila-restoran-meminta-maaf.jpeg","0","245","739","1230","Keluhan substitusi item tidak sesuai.","Kelemahan akurasi stok/pesanan."
"GF-REV-NEG-005","ulasan_negatif_netral","ulasan-negatif-netral","siyaga.: makanan enak tetapi kuah yang diminta/dibayar tidak diberikan; restoran merespons","terlihat","negatif_netral","3","","O-GF-20260613-crop-004-ulasan-pelanggan.jpeg","coded-data/ulasan-negatif-netral/gf-rev-neg-005-siyaga-makanan-enak-tetapi-kuah-yang-diminta-dibayar-tidak-diberikan-restor.jpeg","0","0","739","1522","Keluhan add-on/pisah kuah tidak diberikan.","Kelemahan proses pemenuhan request pelanggan."
"GF-REV-NEG-006","ulasan_negatif_netral","ulasan-negatif-netral","lily: nasi agak keras, keripik kentang melempem, packaging bagus","terlihat","negatif_netral","2","","O-GF-20260613-crop-005-ulasan-pelanggan.jpeg","coded-data/ulasan-negatif-netral/gf-rev-neg-006-lily-nasi-agak-keras-keripik-kentang-melempem-packaging-bagus.jpeg","0","440","739","430","Keluhan kualitas makanan, tetapi ada pujian kemasan.","Kelemahan kualitas produk; kekuatan pengemasan."
"GF-REV-NEG-007","ulasan_negatif_netral","ulasan-negatif-netral","Khash: not quite fresh; tough meat; okay but does not meet expectation","terlihat","negatif_netral","3","","O-GF-20260613-crop-005-ulasan-pelanggan.jpeg","coded-data/ulasan-negatif-netral/gf-rev-neg-007-khash-not-quite-fresh-tough-meat-okay-but-does-not-meet-expectation.jpeg","0","985","739","480","Keluhan kesegaran dan tekstur daging.","Kelemahan kualitas bahan/produk."
"GF-REV-NEG-008","ulasan_negatif_netral","ulasan-negatif-netral","Hartini: sayur nangka ada rada basi","terlihat","negatif","1","","O-GF-20260613-crop-007-ulasan-pelanggan.jpeg","coded-data/ulasan-negatif-netral/gf-rev-neg-008-hartini-sayur-nangka-ada-rada-basi.jpeg","0","430","739","360","Keluhan kesegaran sayur.","Kelemahan kualitas bahan/produk."
"GF-REV-NEG-009","ulasan_negatif_netral","ulasan-negatif-netral","Vivi: staf kurang koordinasi; salah order ke driver; pelanggan keluar ongkos lagi; rasa biasa saja","terlihat","negatif_netral","4","","O-GF-20260613-crop-007-ulasan-pelanggan.jpeg","coded-data/ulasan-negatif-netral/gf-rev-neg-009-vivi-staf-kurang-koordinasi-salah-order-ke-driver-pelanggan-keluar-ongkos-l.jpeg","0","780","739","580","Isi ulasan negatif meskipun rating bintang tinggi.","Kelemahan koordinasi operasional dan layanan driver/customer."
"GF-REV-NEG-010","ulasan_negatif_netral","ulasan-negatif-netral","Fajar: setelah makan langsung diare; restoran memberi respons","terlihat","negatif_netral","4","","O-GF-20260613-crop-038-ulasan-pelanggan-lanjutan.jpeg","coded-data/ulasan-negatif-netral/gf-rev-neg-010-fajar-setelah-makan-langsung-diare-restoran-memberi-respons.jpeg","0","550","739","620","Isi ulasan serius terkait pengalaman pascakonsumsi.","Risiko kualitas/kebersihan yang perlu diklarifikasi lewat triangulasi."
